"","DEPTH_BIN","OBS_YEAR","REEF_ZONE","SEC_NAME","SITE","SITE.AREA","Q10","QMed","Q90","QJuv","QJuv.D","Q10.D","QMed.D","Q90.D","TOTAL.D","QJuv.R","Q10.R","QMed.R","Q90.R"
"1","Deep","2015","Forereef","SWA_SANCTUARY","SWA-00500",11,3,27,2,1,0.0909090909090909,0.272727272727273,2.45454545454545,0.181818181818182,3,0.0303030303030303,0.0909090909090909,0.818181818181818,0.0606060606060606
"2","Deep","2015","Forereef","SWA_SANCTUARY","SWA-00509",7.5,3,8,2,0,0,0.4,1.06666666666667,0.266666666666667,1.73333333333333,0,0.230769230769231,0.615384615384615,0.153846153846154
"3","Deep","2015","Forereef","SWA_SANCTUARY","SWA-00510",12,11,35,1,3,0.25,0.916666666666667,2.91666666666667,0.0833333333333333,4.16666666666667,0.06,0.22,0.7,0.02
"4","Deep","2015","Forereef","SWA_SANCTUARY","SWA-00516",12,9,36,1,9,0.75,0.75,3,0.0833333333333333,4.58333333333333,0.163636363636364,0.163636363636364,0.654545454545455,0.0181818181818182
"5","Deep","2018","Forereef","SWA_OPEN","SWA-00793",11.75,11,77,2,16,1.36170212765957,0.936170212765957,6.5531914893617,0.170212765957447,9.02127659574468,0.150943396226415,0.10377358490566,0.726415094339623,0.0188679245283019
"6","Deep","2018","Forereef","SWA_SANCTUARY","SWA-00775",6.25,6,83,9,0,0,0.96,13.28,1.44,15.68,0,0.0612244897959184,0.846938775510204,0.0918367346938776
"7","Deep","2023","Forereef","SWA_OPEN","SWA-00978",9.5,13,65,3,10,1.05263157894737,1.36842105263158,6.84210526315789,0.315789473684211,9.57894736842105,0.10989010989011,0.142857142857143,0.714285714285714,0.032967032967033
"8","Deep","2023","Forereef","SWA_SANCTUARY","SWA-00977",9.5,7,48,14,4,0.421052631578947,0.736842105263158,5.05263157894737,1.47368421052632,7.68421052631579,0.0547945205479452,0.0958904109589041,0.657534246575342,0.191780821917808
"9","Deep","2023","Forereef","SWA_SANCTUARY","SWA-00989",7.5,4,14,1,0,0,0.533333333333333,1.86666666666667,0.133333333333333,2.53333333333333,0,0.210526315789474,0.736842105263158,0.0526315789473684
"10","Mid","2015","Forereef","SWA_SANCTUARY","SWA-00522",13,39,82,3,34,2.61538461538462,3,6.30769230769231,0.230769230769231,12.1538461538462,0.215189873417722,0.246835443037975,0.518987341772152,0.0189873417721519
"11","Mid","2015","Forereef","SWA_SANCTUARY","SWA-00530",11.5,6,63,2,8,0.695652173913043,0.521739130434783,5.47826086956522,0.173913043478261,6.8695652173913,0.10126582278481,0.0759493670886076,0.79746835443038,0.0253164556962025
"12","Mid","2015","Forereef","SWA_SANCTUARY","SWA-00536",12,3,90,15,13,1.08333333333333,0.25,7.5,1.25,10.0833333333333,0.107438016528926,0.0247933884297521,0.743801652892562,0.12396694214876
"13","Mid","2015","Forereef","SWA_SANCTUARY","SWA-00541",12,19,87,13,16,1.33333333333333,1.58333333333333,7.25,1.08333333333333,11.25,0.118518518518519,0.140740740740741,0.644444444444444,0.0962962962962963
"14","Mid","2015","Forereef","SWA_SANCTUARY","SWA-00545",13,12,106,3,19,1.46153846153846,0.923076923076923,8.15384615384615,0.230769230769231,10.7692307692308,0.135714285714286,0.0857142857142857,0.757142857142857,0.0214285714285714
"15","Mid","2015","Forereef","SWA_SANCTUARY","SWA-00546",13,4,40,12,7,0.538461538461538,0.307692307692308,3.07692307692308,0.923076923076923,4.84615384615385,0.111111111111111,0.0634920634920635,0.634920634920635,0.19047619047619
"16","Mid","2018","Forereef","SWA_SANCTUARY","SWA-00766",12,10,73,3,4,0.333333333333333,0.833333333333333,6.08333333333333,0.25,7.5,0.0444444444444444,0.111111111111111,0.811111111111111,0.0333333333333333
"17","Mid","2018","Forereef","SWA_SANCTUARY","SWA-00780",13,8,99,11,10,0.769230769230769,0.615384615384615,7.61538461538461,0.846153846153846,9.84615384615385,0.078125,0.0625,0.7734375,0.0859375
"18","Mid","2018","Forereef","SWA_SANCTUARY","SWA-00795",13,17,76,5,18,1.38461538461538,1.30769230769231,5.84615384615385,0.384615384615385,8.92307692307692,0.155172413793103,0.146551724137931,0.655172413793103,0.0431034482758621
"19","Mid","2023","Forereef","SWA_OPEN","SWA-00975",12,14,63,9,15,1.25,1.16666666666667,5.25,0.75,8.41666666666667,0.148514851485148,0.138613861386139,0.623762376237624,0.0891089108910891
"20","Mid","2023","Forereef","SWA_OPEN","SWA-00995",9.5,14,28,1,4,0.421052631578947,1.47368421052632,2.94736842105263,0.105263157894737,4.94736842105263,0.0851063829787234,0.297872340425532,0.595744680851064,0.0212765957446808
"21","Mid","2023","Forereef","SWA_SANCTUARY","SWA-00947",11.9,19,74,13,6,0.504201680672269,1.59663865546218,6.21848739495798,1.09243697478992,9.41176470588235,0.0535714285714286,0.169642857142857,0.660714285714286,0.116071428571429
"22","Mid","2023","Forereef","SWA_SANCTUARY","SWA-00963",12,19,119,15,23,1.91666666666667,1.58333333333333,9.91666666666667,1.25,14.6666666666667,0.130681818181818,0.107954545454545,0.676136363636364,0.0852272727272727
"23","Mid","2023","Forereef","SWA_SANCTUARY","SWA-00964",12,19,48,0,2,0.166666666666667,1.58333333333333,4,0,5.75,0.0289855072463768,0.27536231884058,0.695652173913043,0
"24","Mid","2023","Forereef","SWA_SANCTUARY","SWA-00965",12,21,83,14,9,0.75,1.75,6.91666666666667,1.16666666666667,10.5833333333333,0.0708661417322835,0.165354330708661,0.653543307086614,0.110236220472441
"25","Mid","2023","Forereef","SWA_SANCTUARY","SWA-00968",12,9,83,7,4,0.333333333333333,0.75,6.91666666666667,0.583333333333333,8.58333333333333,0.0388349514563107,0.087378640776699,0.805825242718447,0.0679611650485437
"26","Mid","2023","Forereef","SWA_SANCTUARY","SWA-00982",12,22,114,7,18,1.5,1.83333333333333,9.5,0.583333333333333,13.4166666666667,0.111801242236025,0.136645962732919,0.708074534161491,0.0434782608695652
"27","Mid","2023","Forereef","SWA_SANCTUARY","SWA-00983",11,14,63,4,1,0.0909090909090909,1.27272727272727,5.72727272727273,0.363636363636364,7.45454545454545,0.0121951219512195,0.170731707317073,0.768292682926829,0.0487804878048781
"28","Mid","2023","Forereef","SWA_SANCTUARY","SWA-00986",10,13,58,4,4,0.4,1.3,5.8,0.4,7.9,0.0506329113924051,0.164556962025316,0.734177215189873,0.0506329113924051
"29","Shallow","2015","Forereef","SWA_SANCTUARY","SWA-00559",12,1,27,6,6,0.5,0.0833333333333333,2.25,0.5,3.33333333333333,0.15,0.025,0.675,0.15
"30","Shallow","2015","Forereef","SWA_SANCTUARY","SWA-00576",11,11,78,8,1,0.0909090909090909,1,7.09090909090909,0.727272727272727,8.90909090909091,0.0102040816326531,0.112244897959184,0.795918367346939,0.0816326530612245
"31","Shallow","2015","Forereef","SWA_SANCTUARY","SWA-00581",10.5,1,19,1,8,0.761904761904762,0.0952380952380952,1.80952380952381,0.0952380952380952,2.76190476190476,0.275862068965517,0.0344827586206897,0.655172413793103,0.0344827586206897
"32","Shallow","2015","Forereef","SWA_SANCTUARY","SWA-00585",11,2,49,14,5,0.454545454545455,0.181818181818182,4.45454545454545,1.27272727272727,6.36363636363636,0.0714285714285714,0.0285714285714286,0.7,0.2
"33","Shallow","2015","Forereef","SWA_SANCTUARY","SWA-00604",12,0,39,16,5,0.416666666666667,0,3.25,1.33333333333333,5,0.0833333333333333,0,0.65,0.266666666666667
"34","Shallow","2015","Forereef","SWA_SANCTUARY","SWA-00606",10,6,48,16,0,0,0.6,4.8,1.6,7,0,0.0857142857142857,0.685714285714286,0.228571428571429
"35","Shallow","2015","Forereef","SWA_SANCTUARY","SWA-00608",13,4,33,20,14,1.07692307692308,0.307692307692308,2.53846153846154,1.53846153846154,5.46153846153846,0.197183098591549,0.0563380281690141,0.464788732394366,0.28169014084507
"36","Shallow","2015","Forereef","SWA_SANCTUARY","SWA-00609",10,1,44,12,0,0,0.1,4.4,1.2,5.7,0,0.0175438596491228,0.771929824561404,0.210526315789474
"37","Shallow","2018","Forereef","SWA_OPEN","SWA-00802",3.5,0,3,1,2,0.571428571428571,0,0.857142857142857,0.285714285714286,1.71428571428571,0.333333333333333,0,0.5,0.166666666666667
"38","Shallow","2018","Forereef","SWA_SANCTUARY","SWA-00788",10,3,15,0,0,0,0.3,1.5,0,1.8,0,0.166666666666667,0.833333333333333,0
"39","Shallow","2018","Forereef","SWA_SANCTUARY","SWA-00789",11,4,29,9,1,0.0909090909090909,0.363636363636364,2.63636363636364,0.818181818181818,3.90909090909091,0.0232558139534884,0.0930232558139535,0.674418604651163,0.209302325581395
"40","Shallow","2018","Forereef","SWA_SANCTUARY","SWA-00800",13,19,58,5,12,0.923076923076923,1.46153846153846,4.46153846153846,0.384615384615385,7.23076923076923,0.127659574468085,0.202127659574468,0.617021276595745,0.0531914893617021
"41","Shallow","2023","Forereef","SWA_OPEN","SWA-00961",12,5,31,5,3,0.25,0.416666666666667,2.58333333333333,0.416666666666667,3.66666666666667,0.0681818181818182,0.113636363636364,0.704545454545455,0.113636363636364
"42","Shallow","2023","Forereef","SWA_OPEN","SWA-00962",12,15,72,8,10,0.833333333333333,1.25,6,0.666666666666667,8.75,0.0952380952380952,0.142857142857143,0.685714285714286,0.0761904761904762
"43","Shallow","2023","Forereef","SWA_SANCTUARY","SWA-00936",11.75,12,64,12,4,0.340425531914894,1.02127659574468,5.4468085106383,1.02127659574468,7.82978723404255,0.0434782608695652,0.130434782608696,0.695652173913043,0.130434782608696
"44","Shallow","2023","Forereef","SWA_SANCTUARY","SWA-00937",8.5,5,48,9,4,0.470588235294118,0.588235294117647,5.64705882352941,1.05882352941176,7.76470588235294,0.0606060606060606,0.0757575757575758,0.727272727272727,0.136363636363636
"45","Shallow","2023","Forereef","SWA_SANCTUARY","SWA-00938",11,4,35,8,1,0.0909090909090909,0.363636363636364,3.18181818181818,0.727272727272727,4.36363636363636,0.0208333333333333,0.0833333333333333,0.729166666666667,0.166666666666667
"46","Shallow","2023","Forereef","SWA_SANCTUARY","SWA-00940",11,11,36,10,1,0.0909090909090909,1,3.27272727272727,0.909090909090909,5.27272727272727,0.0172413793103448,0.189655172413793,0.620689655172414,0.172413793103448
"47","Shallow","2023","Forereef","SWA_SANCTUARY","SWA-00941",12,11,44,7,12,1,0.916666666666667,3.66666666666667,0.583333333333333,6.16666666666667,0.162162162162162,0.148648648648649,0.594594594594595,0.0945945945945946
"48","Shallow","2023","Forereef","SWA_SANCTUARY","SWA-00944",12,4,30,8,9,0.75,0.333333333333333,2.5,0.666666666666667,4.25,0.176470588235294,0.0784313725490196,0.588235294117647,0.156862745098039
"49","Shallow","2023","Forereef","SWA_SANCTUARY","SWA-00948",9.5,9,67,4,4,0.421052631578947,0.947368421052632,7.05263157894737,0.421052631578947,8.84210526315789,0.0476190476190476,0.107142857142857,0.797619047619048,0.0476190476190476
"50","Shallow","2023","Forereef","SWA_SANCTUARY","SWA-00949",12,9,21,0,6,0.5,0.75,1.75,0,3,0.166666666666667,0.25,0.583333333333333,0
"51","Shallow","2023","Forereef","SWA_SANCTUARY","SWA-00952",11.7,22,86,6,6,0.512820512820513,1.88034188034188,7.35042735042735,0.512820512820513,10.2564102564103,0.05,0.183333333333333,0.716666666666667,0.05
